Chat	Chat
JointsService	JointsService
Lighting	Lighting
Atmosphere	Lighting.Atmosphere
ColorCorrectionEffect	Lighting.ColorCorrection
DepthOfFieldEffect	Lighting.DepthOfField
BlurEffect	Lighting.DungeonAutofarmBlur
Sky	Lighting.Snow Skybox by kulyk
SunRaysEffect	Lighting.SunRays
LocalizationService	LocalizationService
MaterialService	MaterialService
Players	Players
Script	README
ReplicatedFirst	ReplicatedFirst
ModuleScript	ReplicatedFirst.LoadingScreensLite
LocalScript	ReplicatedFirst.LocalScript
ScreenGui	ReplicatedFirst.coverScreen
Frame	ReplicatedFirst.coverScreen.Frame
ImageLabel	ReplicatedFirst.coverScreen.Frame.ImageLabel
TextLabel	ReplicatedFirst.coverScreen.Frame.loadingText
ScreenGui	ReplicatedFirst.teleportCurtainWhite
Frame	ReplicatedFirst.teleportCurtainWhite.whiteFrame
ReplicatedStorage	ReplicatedStorage
Folder	ReplicatedStorage.Assets
Folder	ReplicatedStorage.Assets.Misc
Model	ReplicatedStorage.Assets.Misc.Soul
CFrameValue	ReplicatedStorage.Assets.Misc.Soul.CFrameValue
MeshPart	ReplicatedStorage.Assets.Misc.Soul.Center
Attachment	ReplicatedStorage.Assets.Misc.Soul.Center.A0
Attachment	ReplicatedStorage.Assets.Misc.Soul.Center.A1
Attachment	ReplicatedStorage.Assets.Misc.Soul.Center.CenterAttachment
Trail	ReplicatedStorage.Assets.Misc.Soul.Center.Trail
WeldConstraint	ReplicatedStorage.Assets.Misc.Soul.Center.WeldConstraint
MeshPart	ReplicatedStorage.Assets.Misc.Soul.Shell
Model	ReplicatedStorage.Assets.TungTung
BodyColors	ReplicatedStorage.Assets.TungTung.Body Colors
MeshPart	ReplicatedStorage.Assets.TungTung.Head
StringValue	ReplicatedStorage.Assets.TungTung.Head.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.Head.FaceCenterAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.FaceCenterAttachment.OriginalPosition
FaceControls	ReplicatedStorage.Assets.TungTung.Head.FaceControls
Attachment	ReplicatedStorage.Assets.TungTung.Head.FaceFrontAttachment
